GEOID,NAME,state_name,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino
34003015402,Census Tract 154.02; Bergen County; New Jersey,New Jersey,3172,861,366,1271,674
34003015500,Census Tract 155; Bergen County; New Jersey,New Jersey,6950,3709,447,957,1441
34003016000,Census Tract 160; Bergen County; New Jersey,New Jersey,5347,2190,97,2290,511
34003017101,Census Tract 171.01; Bergen County; New Jersey,New Jersey,5543,4095,81,445,749
34003017102,Census Tract 171.02; Bergen County; New Jersey,New Jersey,1983,1688,8,89,184
34003017200,Census Tract 172; Bergen County; New Jersey,New Jersey,6616,4192,375,573,1167
34003017301,Census Tract 173.01; Bergen County; New Jersey,New Jersey,3240,2482,12,263,472
34003017302,Census Tract 173.02; Bergen County; New Jersey,New Jersey,2899,2249,80,70,500
34003017400,Census Tract 174; Bergen County; New Jersey,New Jersey,5894,3939,280,742,872
34003017501,Census Tract 175.01; Bergen County; New Jersey,New Jersey,4500,2627,304,1028,402
34003017502,Census Tract 175.02; Bergen County; New Jersey,New Jersey,4273,2539,67,918,591
34003018101,Census Tract 181.01; Bergen County; New Jersey,New Jersey,4913,1372,2,240,3299
34003018102,Census Tract 181.02; Bergen County; New Jersey,New Jersey,2917,989,80,140,1675
34003018200,Census Tract 182; Bergen County; New Jersey,New Jersey,7105,2619,255,693,3241
34003019102,Census Tract 191.02; Bergen County; New Jersey,New Jersey,3183,843,4,1678,474
34003019103,Census Tract 191.03; Bergen County; New Jersey,New Jersey,4541,1418,209,2058,734
34003019104,Census Tract 191.04; Bergen County; New Jersey,New Jersey,4149,1356,8,2103,580
34003019202,Census Tract 192.02; Bergen County; New Jersey,New Jersey,3429,1078,41,1490,582
34003019203,Census Tract 192.03; Bergen County; New Jersey,New Jersey,3371,1627,16,1021,543
34003019204,Census Tract 192.04; Bergen County; New Jersey,New Jersey,3608,1193,287,1604,441
34003019303,Census Tract 193.03; Bergen County; New Jersey,New Jersey,5259,1643,44,2849,511
34003019304,Census Tract 193.04; Bergen County; New Jersey,New Jersey,2674,980,57,969,548
34003019305,Census Tract 193.05; Bergen County; New Jersey,New Jersey,7363,3830,183,2695,612
34003019306,Census Tract 193.06; Bergen County; New Jersey,New Jersey,2222,1139,23,905,94
34003020100,Census Tract 201; Bergen County; New Jersey,New Jersey,4068,3116,51,425,416
34003020200,Census Tract 202; Bergen County; New Jersey,New Jersey,6939,5486,188,648,568
34003021101,Census Tract 211.01; Bergen County; New Jersey,New Jersey,3997,2084,112,112,1661
34003021102,Census Tract 211.02; Bergen County; New Jersey,New Jersey,2587,2173,58,46,296
34003021200,Census Tract 212; Bergen County; New Jersey,New Jersey,6279,3568,314,117,2280
34003021300,Census Tract 213; Bergen County; New Jersey,New Jersey,4809,2961,100,297,1451
34003021400,Census Tract 214; Bergen County; New Jersey,New Jersey,5117,2763,62,141,2103
34003021500,Census Tract 215; Bergen County; New Jersey,New Jersey,5155,1529,429,143,3023
34003021600,Census Tract 216; Bergen County; New Jersey,New Jersey,4528,1582,462,84,2301
34003022100,Census Tract 221; Bergen County; New Jersey,New Jersey,4103,3346,2,354,239
34003022200,Census Tract 222; Bergen County; New Jersey,New Jersey,7983,5794,164,1441,199
34003023100,Census Tract 231; Bergen County; New Jersey,New Jersey,4260,848,1250,519,1403
34003023201,Census Tract 232.01; Bergen County; New Jersey,New Jersey,3762,974,579,282,1709
34003023202,Census Tract 232.02; Bergen County; New Jersey,New Jersey,2929,1169,843,470,400
34003023301,Census Tract 233.01; Bergen County; New Jersey,New Jersey,3004,1321,495,157,930
34003023303,Census Tract 233.03; Bergen County; New Jersey,New Jersey,2809,1009,653,394,443
34003023304,Census Tract 233.04; Bergen County; New Jersey,New Jersey,2363,1035,576,191,416
34003023401,Census Tract 234.01; Bergen County; New Jersey,New Jersey,4083,986,951,895,1130
34003023402,Census Tract 234.02; Bergen County; New Jersey,New Jersey,6054,1409,753,1913,1698
34003023501,Census Tract 235.01; Bergen County; New Jersey,New Jersey,3587,1040,1165,206,1105
34003023502,Census Tract 235.02; Bergen County; New Jersey,New Jersey,5194,1179,619,562,2675
34003023601,Census Tract 236.01; Bergen County; New Jersey,New Jersey,3320,781,330,340,1844
34003023602,Census Tract 236.02; Bergen County; New Jersey,New Jersey,4393,426,797,21,3094
34003024100,Census Tract 241; Bergen County; New Jersey,New Jersey,5863,3200,0,2111,413
34003024200,Census Tract 242; Bergen County; New Jersey,New Jersey,4826,3439,2,934,238
34003025100,Census Tract 251; Bergen County; New Jersey,New Jersey,6359,2811,516,420,2340
34003025200,Census Tract 252; Bergen County; New Jersey,New Jersey,5721,4083,246,702,676
34003026100,Census Tract 261; Bergen County; New Jersey,New Jersey,4638,3905,74,260,237
34003026200,Census Tract 262; Bergen County; New Jersey,New Jersey,5487,4087,130,459,644
34003027000,Census Tract 270; Bergen County; New Jersey,New Jersey,4234,3037,58,488,489
34003028001,Census Tract 280.01; Bergen County; New Jersey,New Jersey,5438,1680,75,2071,1443
34003028002,Census Tract 280.02; Bergen County; New Jersey,New Jersey,3835,1460,68,1382,702
34003029100,Census Tract 291; Bergen County; New Jersey,New Jersey,4331,1395,240,1566,1119
34003029200,Census Tract 292; Bergen County; New Jersey,New Jersey,6623,2738,150,736,2932
34003030100,Census Tract 301; Bergen County; New Jersey,New Jersey,6074,2075,191,278,3151
34003030201,Census Tract 302.01; Bergen County; New Jersey,New Jersey,4239,1656,331,87,1945
34003030202,Census Tract 302.02; Bergen County; New Jersey,New Jersey,3602,1707,581,170,1058
34003030300,Census Tract 303; Bergen County; New Jersey,New Jersey,4739,1764,532,383,1965
34003030401,Census Tract 304.01; Bergen County; New Jersey,New Jersey,3477,1182,833,365,935
34003030402,Census Tract 304.02; Bergen County; New Jersey,New Jersey,3838,2013,74,515,1236
34003031100,Census Tract 311; Bergen County; New Jersey,New Jersey,6621,3463,417,541,2038
34003031200,Census Tract 312; Bergen County; New Jersey,New Jersey,4649,2895,71,345,1188
